Employee Name,Pay Type,Hours,Rate,Total Amount,Date
Robert Anderson,Regular,40,28.00,1120.00,2024-01-15
Maria Garcia,Overtime,12,42.00,504.00,2024-01-15
James Brown,Regular,40,35.00,1400.00,2024-01-15
Jennifer Davis,Vacation,24,30.00,720.00,2024-01-15
Christopher Wilson,Bonus,0,0.00,750.00,2024-01-15
Robert Anderson,Regular,40,28.00,1120.00,2024-01-22
Maria Garcia,Regular,40,26.00,1040.00,2024-01-22
James Brown,Sick,16,35.00,560.00,2024-01-22
Jennifer Davis,Regular,40,30.00,1200.00,2024-01-22
Christopher Wilson,Holiday,16,40.00,640.00,2024-01-22
